name,label,crop R(crop_sets),input_method,input_age_min_in_month I,input_age_max_in_month I,input_period_start,input_period_stop,keq D,variant R(product_nature_variants)
mixed_sludge_on_spring_straw_cereal_during_spring_12,Boues mixtes papetières 15<C/N<20,spring_crop,,0,120,3,6,0.1,mixed_sludge
mixed_sludge_on_spring_straw_cereal_during_spring_13,Boues mixtes papetières 20<C/N<35,spring_crop,,0,120,3,6,0.0,mixed_sludge
mixed_sludge_on_spring_straw_cereal_during_spring_14,Boues mixtes papetières,spring_crop,,0,120,3,6,0.3,mixed_sludge
mixed_sludge_on_spring_straw_cereal_during_spring_15,Boues de désencrage 40<C/N<70,spring_crop,,0,120,3,6,0.3,mixed_sludge
new_pig_compost_on_spring_straw_cereal_during_summer,Compost de fumier de porcs et de lisier de porcs + paille (Guernevez),spring_crop,,0,6,3,6,0.45,pig_compost
new_pig_compost_on_rapel_during_summer,Compost de fumier de porcs et de lisier de porcs + paille (Guernevez),rape,,0,6,8,9,0.2,pig_compost
new_pig_compost_on_spring_straw_cereal_during_summer,Compost de fumier de porcs et de lisier de porcs + paille (Guernevez),autumn_crop,,0,6,9,12,0.05,pig_compost
pig_compost_on_spring_straw_cereal_during_summer,Compost de fumier de porcs et de lisier de porcs + paille (Guernevez),spring_crop,,6,10,3,6,0.25,pig_compost
pig_compost_on_rape_during_summer,Compost de fumier de porcs et de lisier de porcs + paille (Guernevez),rape,,6,10,3,6,0.1,pig_compost
horse_manure_on_spring_straw_cereal_during_summer,Fumier de cheval,spring_crop,,0,120,6,9,0.2,horse_manure
horse_manure_on_spring_straw_cereal_during_spring,Fumier de cheval,spring_crop,,0,120,3,6,0.2,horse_manure
horse_manure_on_rape_during_summer,Fumier de cheval,rape,,0,120,7,9,0.1,horse_manure
horse_manure_on_autumn_crop_during_winter,Fumier de cheval,autumn_crop,,0,120,9,12,0.1,horse_manure
ovis_manure_on_spring_straw_cereal_during_summer,Fumier d’ovins,spring_crop,,0,120,6,9,0.15,ovis_manure
ovis_manure_on_spring_straw_cereal_during_spring,Fumier d’ovins,spring_crop,,0,120,3,6,0.2,ovis_manure
ovis_manure_on_rape_during_summer,Fumier d’ovins,rape,,0,120,7,9,0.1,ovis_manure
ovis_manure_on_autumn_crop_during_winter,Fumier d’ovins,autumn_crop,,0,120,9,12,0.1,ovis_manure
capra_manure_on_spring_straw_cereal_during_summer,Fumier de caprins,spring_crop,,0,120,6,9,0.15,capra_manure
capra_manure_on_spring_straw_cereal_during_spring,Fumier de caprins,spring_crop,,0,120,3,6,0.2,capra_manure
capra_manure_on_rape_during_summer,Fumier de caprins,rape,,0,120,7,9,0.1,capra_manure
capra_manure_on_autumn_crop_during_winter,Fumier de caprins,autumn_crop,,0,120,9,12,0.1,capra_manure
sus_manure_on_spring_straw_cereal_during_spring,Fumier de porcs,spring_crop,,0,120,3,6,0.45,pig_manure
sus_manure_on_spring_straw_cereal_during_autumn,Fumier de porcs,spring_crop,,0,120,9,12,0.15,pig_manure
sus_manure_on_spring_straw_cereal_during_summer,Fumier de porcs,spring_crop,,0,120,6,9,0.15,pig_manure
sus_manure_on_rape_during_summer,Fumier de porcs,rape,,0,120,6,9,0.1,pig_manure
sus_manure_on_rape_during_spring,Fumier de porcs,rape,,0,120,3,6,0.15,pig_manure
sus_manure_on_autumn_crop_during_spring,Fumier de porcs,autumn_crop,,0,120,3,6,0.2,pig_manure
sus_manure_on_autumn_crop_during_autumn,Fumier de porcs,autumn_crop,,0,120,9,12,0.1,pig_manure
straw_cattle_manure_on_spring_straw_cereal_during_spring,Fumier de bovin pailleux,spring_crop,,0,120,3,6,0.25,cattle_manure
straw_cattle_manure_on_spring_straw_cereal_during_autumn,Fumier de bovin pailleux,spring_crop,,0,120,9,12,0.1,cattle_manure
straw_cattle_manure_on_spring_straw_cereal_during_summer,Fumier de bovin pailleux,spring_crop,,0,120,6,9,0.1,cattle_manure
straw_cattle_manure_on_rape_during_summer,Fumier de bovin pailleux,rape,,0,120,6,9,0.1,cattle_manure
straw_cattle_manure_on_autumn_crop_during_winter,Fumier de bovin pailleux,autumn_crop,,0,120,9,12,0.1,cattle_manure
cattle_manure_on_spring_straw_cereal_during_spring,Fumier de bovin décomposé,spring_crop,,0,120,3,6,0.3,cattle_manure
cattle_manure_on_spring_straw_cereal_during_autumn,Fumier de bovin décomposé,spring_crop,,0,120,9,12,0.1,cattle_manure
cattle_manure_on_spring_straw_cereal_during_summer,Fumier de bovin décomposé,spring_crop,,0,120,6,9,0.2,cattle_manure
cattle_manure_on_rape_during_summer,Fumier de bovin décomposé,rape,,0,120,6,9,0.1,cattle_manure
cattle_manure_on_autumn_crop_during_winter,Fumier de bovin décomposé,autumn_crop,,0,120,9,12,0.1,cattle_manure
poultry_guano_on_spring_straw_cereal_during_spring_01,Fientes de volaille avec litière avec incorporation immédiate,spring_crop,,0,120,3,6,0.6,poultry_guano
poultry_guano_on_rape_during_summer_01,Fientes de volaille avec litière avec incorporation immédiate,rape,,0,120,7,9,0.2,poultry_guano
poultry_guano_on_autumn_crop_during_autumn_01,Fientes de volaille avec litière avec incorporation immédiate,autumn_crop,,0,120,9,12,0.1,poultry_guano
poultry_guano_on_spring_straw_cereal_during_spring_02,Fientes de volaille avec litière avec incorporation dans les 24H,spring_crop,,0,120,3,6,0.5,poultry_guano
poultry_guano_on_rape_during_summer_02,Fientes de volaille avec litière avec incorporation dans les 24H,rape,,0,120,7,9,0.17,poultry_guano
poultry_guano_on_autumn_crop_during_autumn_02,Fientes de volaille avec litière avec incorporation dans les 24H,autumn_crop,,0,120,9,12,0.1,poultry_guano
poultry_guano_on_rape_during_summer_03,Fientes de volaille avec litière avec apport en végétation,rape,,0,120,3,6,0.45,poultry_guano
poultry_guano_on_autumn_crop_during_autumn_03,Fientes de volaille avec litière avec apport en végétation,autumn_crop,,0,120,3,6,0.45,poultry_guano
new_cattle_compost_on_spring_straw_cereal_during_autumn,Composts de fumiers de bovins jeune de moins de 6 mois,spring_crop,,0,6,3,6,0.2,cattle_compost
new_cattle_compost_on_rape_during_summer,Composts de fumiers de bovins jeune de moins de 6 mois,rape,,0,6,7,9,0.12,cattle_compost
new_cattle_compost_on_autumn_crop_during_autumn,Composts de fumiers de bovins jeune de moins de 6 mois,autumn_crop,,0,6,9,12,0.05,cattle_compost
old_cattle_compost_on_spring_straw_cereal_during_spring,Composts de fumiers de bovins vieux de plus de 6 mois,spring_crop,,6,120,3,6,0.1,cattle_compost
old_cattle_compost_on_spring_straw_cereal_during_summer,Composts de fumiers de bovins vieux de plus de 6 mois,spring_crop,,6,120,9,12,0.15,cattle_compost
